# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 197
#
# Samples: 2K of event 'cycles:ppp'
# Event count (approx.): 34805110900
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................
#
     0.00%  java             [unknown]            [k] 0xffffffffa0ff68b9
     0.00%  C2 CompilerThre  [unknown]            [k] 0xffffffffa158cbc0
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::sched_call
     0.00%  java             libjvm.so            [.] LinkResolver::lookup_method_in_klasses
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::do_range_check
     0.00%  java             libjvm.so            [.] InterpreterRuntime::resolve_ldc
     0.00%  C2 CompilerThre  libjvm.so            [.] RegionNode::is_CFG
     0.00%  java             libjvm.so            [.] TemplateInterpreterGenerator::set_short_entry_points
     0.00%  C2 CompilerThre  [unknown]            [k] 0xffffffffa158bb12
     0.00%  java             libjvm.so            [.] InterpreterMacroAssembler::dispatch_base
     0.00%  C1 CompilerThre  [unknown]            [k] 0xffffffffa1596067
     0.00%  C1 CompilerThre  libjvm.so            [.] ciEnv::register_method
     0.00%  C2 CompilerThre  libjvm.so            [.] IndexSetIterator::advance_and_next
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_late
     0.00%  java             libjvm.so            [.] Klass::append_to_sibling_list
     0.00%  C2 CompilerThre  libjvm.so            [.] GrowableArrayWithAllocator<unsigned int, GrowableArray<unsigned int> >::grow
     0.00%  C1 CompilerThre  libjvm.so            [.] Base::as_Base
     0.00%  java             [unknown]            [k] 0xffffffffa0ff61be
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCCP::analyze
     0.00%  java             libjvm.so            [.] InterpreterRuntime::newarray
     0.00%  C2 CompilerThre  libjvm.so            [.] OopFlow::build_oop_map
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::stretch_base_pointer_live_ranges
     0.00%  C2 CompilerThre  libjvm.so            [.] Dict::Insert
     0.00%  Reference Handl  libjvm.so            [.] methodHandle::~methodHandle
     0.00%  java             ld-2.17.so           [.] __tls_get_addr_slow
     0.00%  C2 CompilerThre  libjvm.so            [.] NTarjan::DFS
     0.00%  C2 CompilerThre  libjvm.so            [.] ScavengableNMethods::register_nmethod
     0.00%  C2 CompilerThre  ld-2.17.so           [.] __tls_get_addr
     0.00%  java             libjvm.so            [.] java_lang_String::create_from_unicode
     0.00%  java             libjvm.so            [.] InstanceKlass::print_class_load_logging
     0.00%  java             libpthread-2.17.so   [.] pthread_cond_broadcast@@GLIBC_2.3.2
     0.00%  java             [unknown]            [k] 0xffffffffa0e09a1b
     0.00%  java             libjvm.so            [.] os::create_thread
     0.00%  Service Thread   [unknown]            [k] 0xffffffffa0fad930
     0.00%  C2 CompilerThre  libjvm.so            [.] Type::hashcons
     0.00%  java             libjvm.so            [.] Klass::restore_unshareable_info
     0.00%  java             libjvm.so            [.] LoaderConstraintTable::find_loader_constraint
     0.00%  java             libjvm.so            [.] InstanceKlass::compute_modifier_flags
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::get_ctrl
     0.00%  Service Thread   libjvm.so            [.] JvmtiDeferredEvent::post
     0.00%  C2 CompilerThre  libjvm.so            [.] Address::make_raw
     0.00%  C1 CompilerThre  libjvm.so            [.] ValueType::initialize
     0.00%  java             libjvm.so            [.] SymbolTable::lookup_shared
     0.00%  C1 CompilerThre  libjvm.so            [.] MethodData::compute_allocation_size_in_bytes
     0.00%  C1 CompilerThre  [unknown]            [k] 0xffffffffa13c6aff
     0.00%  java             libjvm.so            [.] MacroAssembler::andptr
     0.00%  java             libjvm.so            [.] ConstantPool::resolve_constant_at_impl
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::clone_projs
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Split
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::add_users_to_worklist
     0.00%  C2 CompilerThre  libjvm.so            [.] BufferBlob::create
     0.00%  C2 CompilerThre  [unknown]            [k] 0xffffffffa158c45a
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::select
     0.00%  C2 CompilerThre  libjvm.so            [.] InstanceKlass::find_local_field_from_offset
     0.00%  C2 CompilerThre  libjvm.so            [.] ciKlass::ciKlass
     0.00%  java             libjvm.so            [.] OopStorage::allocate
     0.00%  C2 CompilerThre  [unknown]            [k] 0xffffffffa1040a84
     0.00%  C2 CompilerThre  libjvm.so            [.] RangeCheckNode::is_range_check
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::grow
     0.00%  java             libc-2.17.so         [.] __clock_gettime
