# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 17
#
# Samples: 831  of event 'cycles:ppp'
# Event count (approx.): 1669426878
#
# Overhead  Command  Shared Object       Symbol                                                             
# ........  .......  ..................  ...................................................................
#
     0.04%  java     libjvm.so           [.] Unique_Node_List::remove
     0.04%  java     perf-10747.map      [.] 0x00007f194912fa94
     0.04%  java     perf-10747.map      [.] 0x00007f194912f9c4
     0.04%  java     libpthread-2.17.so  [.] pthread_mutex_unlock
     0.04%  java     libjvm.so           [.] TypeAryPtr::xmeet_helper
     0.04%  java     libjvm.so           [.] LinearScan::reg_num
     0.04%  java     libjvm.so           [.] CollectedHeap::post_allocation_setup_array
     0.04%  java     libjvm.so           [.] PhaseCCP::analyze
     0.04%  java     libjvm.so           [.] PhaseIdealLoop::compute_lca_of_uses
     0.04%  java     perf-10747.map      [.] 0x00007f194912f918
     0.04%  java     perf-10747.map      [.] 0x00007f194912fad4
     0.04%  java     [unknown]           [k] 0xffffffffa0fca2c6
     0.04%  java     libjvm.so           [.] NodeHash::hash_find_insert
     0.04%  java     [unknown]           [k] 0xffffffffc081941f
     0.04%  java     [unknown]           [k] 0xffffffffa11b1d00
     0.04%  java     libjvm.so           [.] InterpreterRuntime::resolve_invoke
     0.04%  java     [unknown]           [k] 0xffffffffc0bcc5e7
     0.04%  java     [unknown]           [k] 0xffffffffa104e4cd
     0.04%  java     libpthread-2.17.so  [.] 0x000000000000e6fd
     0.04%  java     [unknown]           [k] 0xffffffffa104f2d6
     0.04%  java     [unknown]           [k] 0xffffffffa106eb0c
     0.04%  java     libjvm.so           [.] PhiNode::is_unsafe_data_reference
     0.04%  java     [unknown]           [k] 0xffffffffa118c527
     0.04%  java     libjvm.so           [.] ExceptionHandlerTable::ExceptionHandlerTable
     0.04%  java     libjvm.so           [.] NTarjan::DFS
     0.04%  java     [unknown]           [k] 0xffffffffc08193e0
     0.04%  java     hsdis-amd64.so      [.] OP_REG
     0.04%  java     [unknown]           [k] 0xffffffffc08085a0
     0.04%  java     libjvm.so           [.] PhaseIdealLoop::split_if_with_blocks
     0.04%  java     hsdis-amd64.so      [.] fetch_data
     0.04%  java     [unknown]           [k] 0xffffffffc0818aab
     0.04%  java     [unknown]           [k] 0xffffffffa0fbcf50
     0.04%  java     libc-2.17.so        [.] _itoa_word
     0.04%  java     [unknown]           [k] 0xffffffffa0fbe40d
     0.04%  java     libjvm.so           [.] Matcher::match_tree
     0.04%  java     [unknown]           [k] 0xffffffffc08191e5
     0.04%  java     libjvm.so           [.] PhaseIdealLoop::get_early_ctrl
     0.04%  java     libjvm.so           [.] PhaseCFG::schedule_local
     0.04%  java     [unknown]           [k] 0xffffffffa0fbceb2
     0.04%  java     [unknown]           [k] 0xffffffffc08080ac
     0.04%  java     libjvm.so           [.] Compile::flatten_alias_type
     0.04%  java     libjvm.so           [.] decode_env::handle_event
     0.04%  java     [unknown]           [k] 0xffffffffa1051412
     0.04%  java     libjvm.so           [.] State::DFA
     0.04%  java     [unknown]           [k] 0xffffffffc08104a0
     0.04%  java     [unknown]           [k] 0xffffffffa0ffe2b3
     0.04%  java     libjvm.so           [.] PhaseLive::compute
     0.04%  java     libjvm.so           [.] PhaseIdealLoop::dom_lca_internal
     0.04%  java     libjvm.so           [.] RegMask::is_UP
     0.04%  java     [unknown]           [k] 0xffffffffa1596095
     0.04%  java     libjvm.so           [.] PhaseChaitin::build_ifg_physical
     0.04%  java     libjvm.so           [.] Matcher::xform
     0.04%  java     [unknown]           [k] 0xffffffffa104f2ea
     0.04%  java     libjvm.so           [.] TypeNode::ideal_reg
     0.04%  java     libjvm.so           [.] TypeNode::bottom_type
     0.04%  java     libjvm.so           [.] PhaseChaitin::fixup_spills
     0.04%  java     libjvm.so           [.] Node_Backward_Iterator::next
     0.04%  java     [unknown]           [k] 0xffffffffa0fc078d
     0.04%  java     libjvm.so           [.] State::_sub_Op_LoadRange
     0.04%  java     [unknown]           [k] 0xffffffffc08193f8
     0.04%  java     [unknown]           [k] 0xffffffffc08192a1
     0.04%  java     [unknown]           [k] 0xffffffffa106c438
     0.04%  java     libjvm.so           [.] PhaseIFG::remove_node
     0.04%  java     libjvm.so           [.] IndexSet::IndexSet
     0.04%  java     [unknown]           [k] 0xffffffffc0818a9e
     0.04%  java     libjvm.so           [.] AddPNode::bottom_type
     0.04%  java     libjvm.so           [.] PhaseIdealLoop::build_loop_early
     0.04%  java     [unknown]           [k] 0xffffffffc0808293
     0.04%  java     libjvm.so           [.] PhaseIterGVN::optimize
     0.04%  java     libjvm.so           [.] Node::destruct
     0.04%  java     [unknown]           [k] 0xffffffffc0819493
     0.04%  java     [unknown]           [k] 0xffffffffc0817609
     0.04%  java     perf-10747.map      [.] 0x00007f19491273dc
     0.04%  java     libjvm.so           [.] MethodLiveness::BasicBlock::compute_gen_kill_single
     0.04%  java     [unknown]           [k] 0xffffffffc07df285
     0.04%  java     perf-10747.map      [.] 0x00007f194912736d
     0.04%  java     libjvm.so           [.] Compile::remove_useless_nodes
     0.04%  java     libjvm.so           [.] TypeTuple::eq
     0.04%  java     [unknown]           [k] 0xffffffffc08190fb
     0.04%  java     perf-10747.map      [.] 0x00007f1949129459
     0.04%  java     libjvm.so           [.] RegionNode::Ideal
     0.04%  java     libjvm.so           [.] Monitor::unlock
     0.04%  java     [unknown]           [k] 0xffffffffa11b9a3c
     0.04%  java     libjvm.so           [.] ClassFileParser::assemble_annotations
     0.04%  java     libjvm.so           [.] ciMethod::should_inline
     0.04%  java     perf-10747.map      [.] 0x00007f194912942c
     0.04%  java     libjvm.so           [.] SymbolTable::basic_add
     0.04%  java     [unknown]           [k] 0xffffffffc0817622
     0.04%  java     perf-10747.map      [.] 0x00007f19491272c1
     0.04%  java     libjvm.so           [.] Verifier::should_verify_for
     0.04%  java     libjvm.so           [.] CodeCache::allocate
     0.04%  java     perf-10747.map      [.] 0x00007f194912729d
     0.04%  java     [unknown]           [k] 0xffffffffa106eb6c
     0.04%  java     libjvm.so           [.] Assembler::movzbl
     0.04%  java     libc-2.17.so        [.] __strcpy_sse2_unaligned
     0.04%  java     libjvm.so           [.] constantPoolHandle::constantPoolHandle
     0.04%  java     perf-10747.map      [.] 0x00007f1949129444
     0.04%  java     libjvm.so           [.] Assembler::pusha
     0.04%  java     libc-2.17.so        [.] __mmap64
     0.04%  java     [unknown]           [k] 0xffffffffa0fc5ec0
     0.04%  java     [unknown]           [k] 0xffffffffc081760f
     0.04%  java     [unknown]           [k] 0xffffffffa0ff9784
     0.04%  java     libjvm.so           [.] PhiSimplifier::block_do
     0.04%  java     [unknown]           [k] 0xffffffffa0fb2bbc
     0.04%  java     libjvm.so           [.] Method::sort_methods
     0.04%  java     [unknown]           [k] 0xffffffffc08190c6
     0.03%  java     perf-10747.map      [.] 0x00007f194912944f
     0.03%  java     perf-10747.map      [.] 0x00007f1949127307
     0.03%  java     perf-10747.map      [.] 0x00007f1949127242
     0.03%  java     libjvm.so           [.] DebugInformationRecorder::find_sharable_decode_offset
     0.03%  java     libjvm.so           [.] LinearScanWalker::alloc_free_reg
     0.03%  java     [unknown]           [k] 0xffffffffa0ee6600
     0.03%  java     libjvm.so           [.] Assembler::movl
     0.03%  java     [unknown]           [k] 0xffffffffa0fc0ef3
     0.03%  java     [unknown]           [k] 0xffffffffa0ec284c
     0.03%  java     [unknown]           [k] 0xffffffffa0ff14be
     0.03%  java     libjvm.so           [.] Method::is_accessor
     0.03%  java     libjvm.so           [.] Klass::search_secondary_supers
     0.03%  java     libjvm.so           [.] InstanceKlass::InstanceKlass
     0.03%  java     libjvm.so           [.] SymbolTable::lookup_only
     0.03%  java     [unknown]           [k] 0xffffffffa0ea161b
     0.03%  java     libjvm.so           [.] PerfClassTraceTime::~PerfClassTraceTime
     0.03%  java     [unknown]           [k] 0xffffffffa1027df9
     0.03%  java     [unknown]           [k] 0xffffffffa11a6807
     0.03%  java     libjvm.so           [.] TemplateTable::wide_fload
     0.03%  java     perf-10747.map      [.] 0x00007f1948df5b75
     0.03%  java     [unknown]           [k] 0xffffffffa1026251
     0.03%  java     libjvm.so           [.] Assembler::movl
     0.03%  java     libjvm.so           [.] JavaThread::last_frame
     0.03%  java     [unknown]           [k] 0xffffffffa1192340
     0.03%  java     [unknown]           [k] 0xffffffffa1040ada
     0.03%  java     libjvm.so           [.] Assembler::addq
     0.03%  java     [unknown]           [k] 0xffffffffa0fad930
     0.03%  java     [unknown]           [k] 0xffffffffa0f3e998
     0.03%  java     [unknown]           [k] 0xffffffffa0fc089b
     0.03%  java     [unknown]           [k] 0xffffffffc0819583
     0.03%  java     [unknown]           [k] 0xffffffffa0fc7acc
     0.03%  java     [unknown]           [k] 0xffffffffa0fbd2bc
     0.03%  java     libc-2.17.so        [.] free
     0.03%  java     [unknown]           [k] 0xffffffffa1595ebc
